 Chocolate Milk,Bread,pasta,Soups,
 White Bread,yogurt,coffee,,
pip fruit,,,,
Tomato,yogurt,cream cheese,meat spreads,Bread
Cucumbers,Milk,,,
Potato,butter,yogurt,rice,
sugar,Almond Milk,Butter,,
Melon,Milk,buns,bottled beer,Coffee
beef,,,,
Dairy Milk,cereals,,,
chicken,Onion,white bread,bottled water,
butter,Orange,Milk,butter,
bottled water,,,,
yogurt,buns,soda,,
sausage,Orange,,,
waffles,sugar,Cucumber,pork,spices
brown bread,,,,
soda,,,,
hamburger meat,,,,
Chills,Sugar,Onion,Chocolate cake,
pork,,,,
grapes, Vanilla pastry,,,
ice cream,,,,
oil,cream cheese,Beef,detergent,
buns,Chills ,Onion,Chocolate cake,Milk
soda,Beer,,,
curd cheese,,,,
frozen potato ,buns,soda,chocolate,
onions,,,,
berries,soda,Cucumber,Beer,bottled water
fish,soda,bottled water,Flour,
popcorn,Onion,buns,,
ghee,Onion,Milk,soda,Beer
salt,berries,Onion,,
Sugar,grapes,detergent,,
tea,soda,,,
pasta,,,,
eggs,,,,
hard cheese,Onion,Milk,Coconut dessert,
Apple,eggs,pork,,
Orange,buns,soda,Beer,spread cheese
Almond Milk,Chills ,Milk,yogurt,
dish cleaner,yogurt,,,
bathroom cleaner,,,,
napkins,yogurt,cream cheese,spread cheese,curd
Melon,,,,
Banana,bottled water,,,
Lays,,,,
Honey,,,,
Pepsi,Onion,butter,curd,
sausage,buns,cat food,pork,
Beer,,,,
ham,grapes,Onion,Milk,Honey
turkey,Orange,Onion,curd,
Milk,yogurt,Beef,Honey,
Milk,curd,,,
Peach,brown bread,Beer,Beef,
buns,oil,bottled water,Honey,
ham,beef,,,
buns, Vanilla pastry,sugar,,
Onion,Milk,tomoto,canned fish,whipped cream
sausage, Vanilla pastry,ice cream,yogurt,
sausage,beef,Milk,,
Apple,Orange,buns,brown bread,red  wine
buns, Vanilla pastry,soda,,
Milk,,,,
curd cheese,coffee,yogurt, Vanilla pastry,
red  wine,pork,,,
sausage,Milk,curd,,
Orange,pip fruit,berries,Milk,curd
red  wine,,,,
Milk,butter,pasta,Curd,soda
Apple,Melon,Milk,Eggs ,
Milk,meat spreads,soda,,
frozen potato ,,,,
Onion,Milk,buns,sugar,
Melon,Milk,curd,butter milk,Cucumber
soda,salt,bottled water,,
sugar,bottled water,soda,bottled beer,
frozen meals,coffee,,,
chocolate,,,,
Chills ,Milk,tomoto,Eggs ,yogurt
Chills ,onions,hard cheese,tomoto,
herbs,Almond Milk,tomoto,salt,
sausage,Chills ,onions,,
coffee,pork,,,
pork,Onion,whipped cream,,
berries,yogurt,,,
berries,hamburger meat,Melon,Salt,
Cucumber,salt,candles,,
Melon,butter milk,yogurt,cream cheese,coffee
pork,hamburger meat,Melon,berries,
detergent,,,,
grapes,Ranch,,,
sausage,sliced cheese,buns,brown bread,bottled water
chicken,hamburger meat,Melon,Orange,
Milk,yogurt,brown bread,,
Melon,Orange,,,
soda,Soda,,,
sausage,pork,grapes,Milk,Chills 
Apple,buns,bottled water,,
sausage,Milk,yogurt,coffee,
buns,Cucumber,,,
beef,Melon,berries,whipped cream,buns
Milk,whipped cream,buns,,
Orange,pip fruit,,,
Apple,sausage,Chills ,Onion,
Peach,bottled water,Onion, Vanilla pastry,pasta
Milk,Coconut dessert,tomoto,buns,
berries,whipped cream,,,
Melon,berries,Milk,Beef,
Orange,Milk,yogurt,,
hamburger meat,Milk,tomoto,buns,soda
Butter,Onion,hamburger meat,tomoto,
Milk,cream cheese,soda,,
fish,Onion, Vanilla pastry,pasta,Bread
Apple,sausage,Butter,waffles,
Peach,Coconut dessert,Bread,Beer,
 Vanilla pastry,soda,,,
Onion,red  wine,,,
Apple,sausage,Melon,Orange,
Red Wine,,,,
Flour,Pepsi,,,
sausage,butter milk,buns,soda,Pepsi
Apple,Coconut dessert,,,
Milk,yogurt,soda,brown bread,
berries,soda,,,
curd,soda,Pepsi,,
Orange,Onion,coffee,,
buns,Lays,,,
Apple,sausage,Milk,buns,coffee
Onion,Soda,Beer,,
Milk,tomoto,,,
Melon,butter,cream cheese,white bread,
Apple,buns,,,
Apple,ham,pip fruit,Onion,
butter milk,yogurt,honey,soda,
hamburger meat,Melon,onions,buns,
pasta,popcorn,Melon,Coconut dessert,onions
Onion,Milk,,,
sausage,pork,Melon,,
buns,,,,
grapes,Onion,curd,Coconut dessert,Carrot
Chills ,Onion,Milk,yogurt,
coffee,Green Onion,,,
popcorn,,,,
Milk,buns,sugar,bottled water,
Orange,Onion,Peach,Milk,
beef,herbs,,,
Milk,butter,Coconut dessert,buns,Carrot
Apple,soda,Honey,,
Orange,cheese,bottled water,,
Coffee,Onion,tomoto,bottled beer,
hamburger meat,Chills ,Milk,,
Milk, Vanilla pastry,Butter,,
Coffee,,,,
Onion,white wine,Green Onion,,
ham,Orange,Onion,Milk,Butter
curd,butter milk,Coke drink,salt,
bottled beer,,,,
curd,Coconut dessert,soda,salt,
Milk,cream cheese,cereals,Almond,dish Wash
Milk,salt,bottled water,waffles,
Coconut dessert,ice cream,,,
sausage,soft cheese,coffee,,
Onion,,,,
ham,Milk,buns,,
Onion,ice cream,,,
Onion,bottled water,,,
soda,bottled beer,white wine,peanut,eggs
herbs,candy,,,
Apple,ham,Orange,,
buns,Beer,,,
curd,cream cheese,Bread,,
Apple,Orange,Milk,spread cheese,pip fruit
Almond,,,,
curd,salt,Pepsi,detergent,
beef,berries,Chills ,,
pork,beef,pip fruit,herbs,
Apple,Melon,Milk,pasta,beef
sausage,bottled beer,Pepsi,,
Dark chocolate,,,,
curd,buns,,,
Milk,bottled water,pork,yogurt,soda
buns,Honey,,,
pork,Chills ,Onion,Milk,
Melon, Vanilla pastry,,,
potted plants,,,,
butter,yogurt,bottled water,soda,Flour
Almond Milk,sugar,coffee,Green Onion,
sausage,Onion,,,
Milk,soda,Milk,soda,
sausage,pork,beef,Milk,
soda,Flour,sliced cheese,buns,pork
bottled water,Cucumber,,,
cleaner,Sanitary Pads,,,
sausage,soda,pork,Green Onion,
sausage,beef,Melon,Onion,
Soda,pork,,,
white wine,,,,
sausage,sliced cheese,buns,soda,meat
meat,curd,bottled beer,cake bar,
Apple,,,,
ice cream,buns,Beer,,
Orange,berries,Chills ,Onion,
meat,Melon,Onion,curd,Orange
Milk,mustard,bottled water,,
sausage,beef,soda,sliced cheese,
Apple,sausage,,,
meat,Onion,butter,buns,curd
Chills ,soda,Lays,Honey,
Chills ,herbs,Onion,Milk,
Milk,whipped cream,,,
Melon,Milk,curd,Coconut dessert,Bread
Melon,curd, Vanilla pastry,pasta,
Onion,Milk,,,
Melon,Milk,buns,,
sausage,oil,sanitary pads,napkins,
Apple,beef,hamburger meat,grapes,
hard cheese,buns,bottled water,pork,Onion
cream cheese,buns,,,
turkey,beef,,,
pork,Onion,whipped cream,buns,
ham,Milk,buns,,
Onion,ice cream,,,
Onion,bottled water,,,
soda,bottled beer,white wine,peanut,eggs
herbs,candy,,,
Apple,ham,Orange,,
buns,Beer,,,
curd,cream cheese,Bread,,
Apple,Orange,Milk,spread cheese,pip fruit
Almond,,,,
curd,salt,Pepsi,detergent,
beef,berries,Chills ,,
pork,beef,pip fruit,herbs,
Apple,Melon,Milk,pasta,beef
sausage,bottled beer,Pepsi,,
Dark chocolate,,,,
curd,buns,,,
Milk,bottled water,pork,yogurt,soda
buns,Honey,,,
pork,Chills ,Onion,Milk,
Melon, Vanilla pastry,,,
potted plants,,,,
butter,yogurt,bottled water,soda,Flour
Almond Milk,sugar,coffee,Green Onion,
Milk,soda,,,
Apple,sausage,,,
Milk,bottled water,pork,,
